Datetime,PM2.5,PM10,NOx,CO
2017-04-20 12:00:00,103.84,300.12,44.24,0.2
2017-04-21 12:00:00,104.4,374.44,23.56,0.57
2017-04-22 12:00:00,134.0,286.25,29.53,0.0
2017-04-23 12:00:00,97.66,350.83,34.94,0.28
2017-04-24 12:00:00,88.17,204.37,34.37,1.21
2017-04-25 12:00:00,106.89,319.6,37.81,0.45
2017-04-26 12:00:00,91.55,161.92,55.24,0.5
2017-04-27 12:00:00,113.06,250.98,41.77,0.64
2017-04-28 12:00:00,129.0,324.21,42.24,0.69
2017-04-29 12:00:00,256.0,303.61,50.48,0.94
2017-04-30 12:00:00,81.92,207.12,23.72,0.63
2017-05-01 12:00:00,84.04,161.18,36.69,0.46
2017-05-02 12:00:00,156.08,186.31,37.85,0.53
2017-05-03 12:00:00,143.82,400.31,53.32,1.19
2017-05-04 12:00:00,181.14,577.44,33.79,0.77
2017-05-05 12:00:00,148.17,295.97,47.61,0.59
2017-05-06 12:00:00,149.66,256.17,30.3,0.66
2017-05-07 12:00:00,161.5,273.36,51.77,0.74
2017-05-08 12:00:00,236.58,378.48,29.53,1.06
2017-05-09 12:00:00,122.14,333.02,24.39,0.57
2017-05-10 12:00:00,90.7,220.64,19.27,0.61
2017-05-11 12:00:00,89.42,230.92,14.35,0.66
2017-05-12 12:00:00,256.84,705.58,19.86,0.85
2017-05-13 12:00:00,243.31,305.35,29.6,0.84
2017-05-14 12:00:00,119.27,215.04,38.71,0.65
2017-05-15 12:00:00,106.94,389.57,32.54,0.51
2017-05-16 12:00:00,110.75,366.64,22.84,0.48
2017-05-17 12:00:00,97.15,286.58,20.3,0.53
2017-05-18 12:00:00,72.56,253.96,24.98,0.67
2017-05-19 12:00:00,232.83,168.08,59.25,0.76
2017-05-20 12:00:00,268.08,372.0,19.14,0.74
2017-05-21 12:00:00,159.12,556.47,13.49,0.62
2017-05-22 12:00:00,101.4,362.26,30.96,1.09
2017-05-23 12:00:00,72.9,184.7,11.25,0.19
2017-05-24 12:00:00,98.08,188.33,12.16,0.26
2017-05-25 12:00:00,316.17,210.33,12.02,0.35
2017-05-26 12:00:00,96.39,267.58,19.46,0.59
2017-05-27 12:00:00,78.11,321.53,13.22,0.52
2017-05-28 12:00:00,39.74,130.56,13.16,0.42
2017-05-29 12:00:00,61.53,181.33,21.08,0.41
2017-05-30 12:00:00,46.29,144.42,22.21,0.33
2017-05-31 12:00:00,54.77,164.26,22.97,0.66
2017-06-01 12:00:00,109.8,213.08,33.65,0.66
2017-06-02 12:00:00,95.36,301.49,43.01,0.5
2017-06-03 12:00:00,108.39,343.75,52.04,0.57
2017-06-04 12:00:00,85.75,324.75,41.74,0.6
2017-06-05 12:00:00,81.72,347.39,40.88,0.46
2017-06-06 12:00:00,111.11,403.33,37.86,0.37
2017-06-07 12:00:00,63.18,430.34,34.42,0.38
2017-06-08 12:00:00,23.5,,9.27,0.0
2017-06-09 12:00:00,69.0,,13.48,0.0
2017-06-10 12:00:00,,,0.0,0.0
2017-06-11 12:00:00,37.0,,7.21,0.0
2017-06-12 12:00:00,60.5,160.25,6.48,0.0
2017-06-13 12:00:00,30.0,397.0,7.18,0.0
2017-06-14 12:00:00,73.5,359.5,6.74,0.0
