Datetime,PM2.5,PM10,NOx,CO
2017-04-28 12:00:00,31.52,79.1,0.0,0.6
2017-04-29 12:00:00,17.57,104.35,0.0,0.34
2017-04-30 12:00:00,10.02,94.22,0.0,0.46
2017-05-01 12:00:00,14.28,73.93,0.0,0.35
2017-05-02 12:00:00,35.96,81.82,0.0,0.4
2017-05-03 12:00:00,34.25,,0.0,0.0
2017-05-04 12:00:00,49.4,49.37,0.0,0.38
2017-05-05 12:00:00,24.12,74.31,0.0,0.45
2017-05-06 12:00:00,20.72,57.23,,0.47
2017-05-07 12:00:00,28.95,81.66,0.0,0.28
2017-05-08 12:00:00,24.73,,,
2017-05-09 12:00:00,8.06,,0.0,0.0
2017-05-10 12:00:00,10.06,,0.0,0.0
2017-05-11 12:00:00,25.58,31.0,0.0,0.53
2017-05-12 12:00:00,49.5,,0.0,0.0
2017-05-13 12:00:00,32.33,71.02,0.0,0.4
2017-05-14 12:00:00,8.58,45.81,,0.73
2017-05-15 12:00:00,11.93,46.44,0.0,0.36
2017-05-16 12:00:00,18.92,43.95,0.0,0.27
2017-05-17 12:00:00,22.44,70.3,0.0,0.33
2017-05-18 12:00:00,17.43,49.39,0.0,0.27
2017-05-19 12:00:00,18.67,57.94,0.0,0.41
2017-05-20 12:00:00,9.9,65.11,0.0,0.14
2017-05-21 12:00:00,8.4,50.51,0.0,0.36
2017-05-22 12:00:00,22.36,85.55,0.0,0.18
2017-05-23 12:00:00,22.96,50.52,0.0,0.17
2017-05-24 12:00:00,14.09,67.76,0.0,0.26
2017-05-25 12:00:00,25.01,49.7,0.0,0.08
2017-05-26 12:00:00,22.11,73.96,0.0,0.6
2017-05-27 12:00:00,14.1,30.78,0.0,0.22
2017-05-28 12:00:00,13.67,54.74,0.0,0.36
2017-05-29 12:00:00,16.42,60.58,0.0,0.4
2017-05-30 12:00:00,15.9,49.31,0.0,0.56
2017-05-31 12:00:00,17.52,53.85,,0.03
2017-06-01 12:00:00,26.08,38.89,0.0,0.38
2017-06-02 12:00:00,16.78,70.88,0.0,0.98
2017-06-03 12:00:00,17.32,48.7,0.0,0.09
2017-06-04 12:00:00,8.96,,,
2017-06-05 12:00:00,25.58,83.08,0.0,0.34
2017-06-06 12:00:00,19.34,67.02,,1.3
2017-06-07 12:00:00,20.26,39.41,0.0,0.36
2017-06-08 12:00:00,20.1,145.94,0.0,0.9
2017-06-09 12:00:00,22.26,125.6,0.0,0.11
2017-06-10 12:00:00,18.54,101.06,0.0,0.66
2017-06-11 12:00:00,14.06,123.04,0.0,0.36
2017-06-12 12:00:00,19.16,116.43,0.0,0.46
2017-06-13 12:00:00,21.36,,,1.19
2017-06-14 12:00:00,19.29,61.38,0.0,0.39
2017-06-15 12:00:00,21.88,129.14,,1.12
2017-06-16 12:00:00,20.58,100.25,0.0,0.56
2017-06-17 12:00:00,32.06,73.48,,0.39
2017-06-18 12:00:00,23.33,46.15,0.0,0.7
2017-06-19 12:00:00,18.34,80.21,0.0,0.55
2017-06-20 12:00:00,17.98,147.75,0.0,0.28
2017-06-21 12:00:00,13.84,17.0,0.0,0.54
2017-06-22 12:00:00,19.02,44.62,0.0,0.77
2017-06-23 12:00:00,13.7,37.67,0.0,0.55
2017-06-24 12:00:00,16.15,108.29,0.0,0.8
2017-06-25 12:00:00,23.1,141.47,0.0,0.51
2017-06-26 12:00:00,26.24,151.48,0.0,15.21
2017-06-27 12:00:00,41.2,159.18,0.0,0.54
2017-06-28 12:00:00,39.0,132.54,0.0,0.71
2017-06-29 12:00:00,31.21,,0.0,0.0
2017-06-30 12:00:00,42.33,126.71,0.0,1.09
2017-07-01 12:00:00,,200.45,0.0,0.6
2017-07-02 12:00:00,32.34,127.85,0.0,0.64
2017-07-03 12:00:00,,120.63,0.0,0.64
2017-07-04 12:00:00,,94.89,0.0,0.5
2017-07-05 12:00:00,,113.1,0.0,0.6
2017-07-06 12:00:00,,,,
2017-07-07 12:00:00,,142.49,0.0,0.68
2017-07-08 12:00:00,,144.11,0.0,0.48
2017-07-09 12:00:00,25.66,126.15,0.0,0.6
2017-07-10 12:00:00,33.8,115.6,0.0,0.67
2017-07-11 12:00:00,25.22,113.13,0.0,0.57
2017-07-12 12:00:00,17.55,99.01,0.0,1.08
2017-07-13 12:00:00,24.28,131.02,0.0,0.61
2017-07-14 12:00:00,22.85,142.73,0.0,0.68
2017-07-15 12:00:00,26.5,145.48,0.0,0.64
2017-07-16 12:00:00,18.4,118.64,0.0,0.45
2017-07-17 12:00:00,22.44,139.92,0.0,0.68
2017-07-18 12:00:00,17.54,111.37,0.0,0.45
2017-07-19 12:00:00,20.92,109.94,0.0,0.56
2017-07-20 12:00:00,19.2,54.63,0.0,0.44
2017-07-21 12:00:00,15.78,152.07,0.0,0.6
2017-07-22 12:00:00,21.98,134.8,0.0,0.96
2017-07-23 12:00:00,11.25,118.37,0.0,0.62
2017-07-24 12:00:00,17.13,134.42,0.0,0.55
2017-07-25 12:00:00,17.5,117.15,0.0,0.47
2017-07-26 12:00:00,22.1,146.23,0.0,0.69
2017-07-27 12:00:00,23.68,134.05,0.0,0.54
2017-07-28 12:00:00,15.96,108.46,0.0,0.52
2017-07-29 12:00:00,23.92,100.6,0.0,0.7
2017-07-30 12:00:00,23.12,108.5,0.0,0.5
2017-07-31 12:00:00,18.48,,0.0,0.0
2017-08-01 12:00:00,23.78,107.9,0.0,0.46
2017-08-02 12:00:00,24.43,115.73,0.0,0.6
2017-08-03 12:00:00,20.5,,,39.15
2017-08-04 12:00:00,12.72,62.56,0.0,0.76
2017-08-05 12:00:00,16.12,,0.0,0.0
2017-08-06 12:00:00,16.51,77.98,0.0,0.6
2017-08-07 12:00:00,18.82,50.8,0.0,10.65
2017-08-08 12:00:00,18.34,108.69,0.0,0.52
2017-08-09 12:00:00,15.46,101.25,,1.09
2017-08-10 12:00:00,8.56,60.16,0.0,0.5
2017-08-11 12:00:00,19.31,113.99,,0.99
2017-08-12 12:00:00,0.39,46.21,,1.01
2017-08-13 12:00:00,3.72,132.06,,1.2
2017-08-14 12:00:00,4.12,125.14,0.0,0.67
2017-08-15 12:00:00,11.52,42.7,0.0,0.59
2017-08-16 12:00:00,10.0,90.46,0.0,1.57
2017-08-17 12:00:00,14.49,100.76,0.0,1.06
2017-08-18 12:00:00,18.16,,0.0,0.0
2017-08-19 12:00:00,13.31,,,
2017-08-20 12:00:00,15.6,91.23,,1.15
2017-08-21 12:00:00,16.08,123.25,0.0,0.55
2017-08-22 12:00:00,21.56,117.09,0.0,0.62
2017-08-23 12:00:00,18.89,80.21,0.0,0.41
2017-08-24 12:00:00,16.12,43.44,0.0,0.38
2017-08-25 12:00:00,8.53,30.76,0.0,0.44
2017-08-26 12:00:00,18.76,,0.0,0.0
2017-08-27 12:00:00,9.86,78.9,,1.06
2017-08-28 12:00:00,13.41,125.59,0.0,0.94
2017-08-29 12:00:00,9.86,145.93,0.0,1.0
2017-08-30 12:00:00,16.39,116.4,,1.1
2017-08-31 12:00:00,22.09,133.31,0.0,0.53
2017-09-01 12:00:00,14.24,47.18,,1.18
2017-09-02 12:00:00,4.99,49.55,0.0,0.58
2017-09-03 12:00:00,17.12,63.3,0.0,0.66
2017-09-04 12:00:00,17.18,51.94,0.0,0.57
2017-09-05 12:00:00,12.17,45.27,0.0,0.4
2017-09-06 12:00:00,10.8,,0.0,0.0
2017-09-07 12:00:00,8.78,89.3,0.0,0.37
2017-09-08 12:00:00,16.86,122.35,0.0,0.66
2017-09-09 12:00:00,13.46,168.65,0.0,0.71
2017-09-10 12:00:00,13.25,119.58,0.0,0.86
2017-09-11 12:00:00,17.47,143.58,0.0,0.62
2017-09-12 12:00:00,14.53,150.06,0.0,0.85
2017-09-13 12:00:00,19.24,170.79,0.0,0.72
2017-09-14 12:00:00,14.94,106.93,0.0,0.73
2017-09-15 12:00:00,10.5,,0.0,0.0
2017-09-16 12:00:00,7.84,,,0.0
2017-09-17 12:00:00,8.32,52.31,0.0,0.46
2017-09-18 12:00:00,9.06,66.83,0.0,0.11
2017-09-19 12:00:00,7.22,112.34,0.0,0.36
2017-09-20 12:00:00,10.3,109.47,0.0,0.54
2017-09-21 12:00:00,11.96,90.67,0.0,0.44
2017-09-22 12:00:00,12.36,97.73,0.0,0.4
2017-09-23 12:00:00,17.54,110.66,0.0,0.38
2017-09-24 12:00:00,18.46,87.67,0.0,0.42
2017-09-25 12:00:00,9.98,32.2,0.0,0.33
2017-09-26 12:00:00,23.33,88.03,,0.6
2017-09-27 12:00:00,,35.79,,0.27
2017-09-28 12:00:00,10.72,107.02,,0.54
2017-09-29 12:00:00,24.58,94.15,0.0,0.5
2017-09-30 12:00:00,24.0,50.01,0.0,0.39
2017-10-01 12:00:00,13.53,87.11,0.0,0.27
2017-10-02 12:00:00,41.58,51.1,0.0,0.83
2017-10-03 12:00:00,21.48,49.56,4.97,0.39
2017-10-04 12:00:00,519.17,103.15,,0.62
2017-10-05 12:00:00,16.02,28.96,11.28,0.17
2017-10-06 12:00:00,24.22,61.34,12.98,0.49
2017-10-07 12:00:00,54.22,73.2,15.34,0.32
2017-10-08 12:00:00,11.29,56.51,13.09,0.59
2017-10-09 12:00:00,30.32,118.54,11.18,0.28
2017-10-10 12:00:00,24.76,76.14,11.42,2.79
2017-10-11 12:00:00,22.66,53.54,10.66,0.46
2017-10-12 12:00:00,26.98,65.09,13.27,0.3
2017-10-13 12:00:00,25.7,41.98,15.34,0.5
2017-10-14 12:00:00,14.29,48.65,14.91,0.35
2017-10-15 12:00:00,12.44,55.83,15.08,0.4
2017-10-16 12:00:00,23.28,,12.2,0.0
2017-10-17 12:00:00,24.71,52.5,16.27,0.3
2017-10-18 12:00:00,45.94,133.5,12.0,0.41
